model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.7175301632363378,0.36779324055666,0.6981132075471698,0.4817708333333333,0.7735981000131942
XGBoost,0.8140525195173882,0.5135135135135135,0.21509433962264152,0.30319148936170215,0.7654571843251089
CatBoost,0.8161816891412349,0.5283018867924528,0.21132075471698114,0.3018867924528302,0.7634483441087215
RandomForest,0.7885024840312278,0.43373493975903615,0.4075471698113208,0.42023346303501946,0.7529555350310068
LightGBM,0.7984386089425124,0.424,0.2,0.2717948717948718,0.7379370629370628
DecisionTree,0.6919801277501775,0.33528265107212474,0.6490566037735849,0.442159383033419,0.698551919778335
